date,Kragujevac,Tallinn
20-11-20,7.175,5.21E-02
21-11-20,6.006770833,-1.469791667
22-11-20,-4.93125,-5.511458333
23-11-20,7.690625,-1.877083333
24-11-20,10.18177083,-0.623958333
25-11-20,12.715625,-0.961979167
26-11-20,6.834375,-0.567708333
27-11-20,0.48125,3.253125
28-11-20,-0.996354167,5.8578125
29-11-20,-4.534895833,2.580208333
30-11-20,3.343229167,-12.93385417
01-12-20,1.097395833,-5.258333333
02-12-20,0.513020833,1.733333333
03-12-20,0.979166667,4.0859375
04-12-20,1.9421875,1.969791667
05-12-20,3.768229167,1.061458333
06-12-20,2.160416667,3.072395833
07-12-20,6.452083333,1.8859375
08-12-20,5.920833333,1.821354167
09-12-20,1.303125,2.2484375
10-12-20,7.427083333,1.186979167
11-12-20,13.54427083,1.072916667
12-12-20,5.668229167,1.394270833
13-12-20,6.277083333,2.003645833
14-12-20,11.05885417,1.761979167
15-12-20,6.933333333,1.886458333
16-12-20,2.559375,1.988541667
17-12-20,1.1046875,0.958854167
18-12-20,0.295833333,3.606770833
19-12-20,8.44E-02,1.723958333
20-12-20,-0.346354167,1.5515625
21-12-20,-0.366145833,-1.280208333
22-12-20,4.083333333,-2.151041667
23-12-20,7.3203125,-3.849479167
24-12-20,6.769270833,-4.940625
25-12-20,5.9734375,-1.327083333
26-12-20,8.822916667,-3.086979167
27-12-20,10.59114583,-5.791666667
28-12-20,2.4515625,-7.83125
29-12-20,0.673958333,-3.784895833
30-12-20,2.8140625,3.769270833
